Name,5 Minutes,15 Minutes,30 Minutes,Hourly,5 Hours,Daily,Weekly,Monthly,Datetime
IENOVA,Strong Sell,Sell,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy,Neutral,10/28/20 22:06:05
Grupo Herdez,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,Buy,10/28/20 22:06:05
Gruma SAB de CV,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Neutral,Strong Sell,Sell,Strong Buy,10/28/20 22:06:05
Hoteles City Express SAB de CV,Strong Buy,Strong Buy,Neutral,Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
Grupo Financiero Banorte,Neutral,Sell,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy,Neutral,10/28/20 22:06:05
Grupo Mexico,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Buy,Strong Buy,Strong Buy,Strong Buy,10/28/20 22:06:05
Grupo Carso,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
Grupo Financiero Inbursa,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
GAP B,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy,Buy,10/28/20 22:06:05
Fibra Uno Administracion SA de CV,Strong Buy,Buy,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
Prologis Property Mexico,Buy,Strong Sell,Sell,Neutral,Neutral,Strong Sell,Neutral,Strong Buy,10/28/20 22:06:05
Fibra MtyPI,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
Fomento Economico UBD,Sell,Neutral,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
